ID_A,Destino_A,Actividad_A,Precio_A,Destino_B,Actividad_B,Precio_B,Confianza_Score
84,Bogotá,Excursión de 1 día a la Mina Sal de Nemocón desde la ciudad de Bogotá.,$138.000,Bogotá,Excursión a la mina de sal de Nemocón,300.000 COP,6.595
175,Manizales,Excursión de dos días al Nevado Santa Isabel e intento de cima,$1.200.000,Manizales,Ruta privada de trekking de 2 días por el Nevado de Santa Isabel,1.580.000 COP,6.5545
96,Santa Marta,Excursión Marítima al Parque Tayrona: Bahía Concha,$180.000,Santa Marta,Excursión a Bahía Concha,162.000 COP,6.519
138,Zipaquirá,Excursión Privada a la Catedral de Sal de Zipaquirá desde Bogotá.,$230.000,Bogotá,Excursión privada desde Bogotá,1.612.000 COP,6.5094
104,Cartagena,Excursión en bus a Playa Blanca desde Cartagena,$120.000,Cartagena de Indias,Excursión a Playa Blanca,291.900 COP,6.4855
191,Pereira,Excursión de dos días al Nevado Santa Isabel e intento de cima,$1.200.000,Pereira,Ruta privada de trekking de 2 días por el Nevado de Santa Isabel,1.580.000 COP,6.4764
147,Mesetas,"Cascada la Encantada y Tubing por el Cañón del Río Cafre desde Mesetas, Meta",$230.000,Villavicencio,Excursión a la cascada La Encantada + Tubing en el cañón del río Cafre,546.000 COP,6.4362
107,Cartagena,"Tour Islas del Rosario: Isla Grande, Cholón, Agua Azul, Playa Tranquila y Plancton Luminoso",$333.000,Cartagena de Indias,Excursión a las islas del Rosario,396.400 COP,6.4292
47,Salento,Senderismo de Un Día en el Valle de Cocora + Tour del Café,$330.000,Salento,Excursión al Valle de Cocora + Visita a la finca cafetera Entrebosques,430.000 COP,6.4135
206,Villa de Leyva,Tour de un día a Ráquira y Villa de Leyva desde Bogotá,$230.000,Villa de Leyva,Tour por Villa de Leyva y Ráquira,385.000 COP,6.3845
89,Bogotá,Excursión Grupal a la Catedral de Sal de Zipaquirá desde Bogotá.,$114.000,Chía,Excursión a la Catedral de Sal de Zipaquirá,179.000 COP,6.3333
198,Villa de Leyva,Cabalgata de Dos Horas por el Desierto de Villa de Leyva,$104.000,Villa de Leyva,Tour en quad por el desierto de Villa de Leyva,203.000 COP,6.3216
153,Mesetas,"Rafting por el Cañón del Río Güejar desde Villavicencio, Meta",$330.000,Villavicencio,Rafting en el cañón del río Güejar,504.000 COP,6.3002
31,Buenavista,"Vuelo en Parapente de 15 minutos en Buenavista, Quindío",$140.000,Buenavista,Vuelo en parapente por el Quindío,180.000 COP,6.2589
82,Bogotá,Excursión Privada a la Catedral de Sal de Zipaquirá desde Bogotá.,$230.000,Chía,Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía,260.000 COP,6.2378
126,Jardín,"Senderismo veredas La Herrera y Serranías en Jardín, Antioquia",$100.000,Jardín,Excursión a las veredas La Herrera y Serranías,100.000 COP,6.1612
81,Bogotá,City Tour Diurno o Nocturno en Bogotá. 4 horas.,$98.000,Bogotá,Tour nocturno por Bogotá,330.000 COP,6.1413
43,Laguna de Guatavita,Excursión privada de 1 día a la Laguna de Guatavita y Mina de Sal de Nemocón desde Bogotá.,$430.000,Rionegro,Excursión privada a Guatapé,870.000 COP,6.1343
137,Cali,Excursión Terrestre al Desierto de la Tatacoa desde Cali,$640.000,Neiva,Excursión al Desierto de la Tatacoa,363.000 COP,6.1026
45,Salento,"Trekking de un día en el Valle de Cocora, Quindío",$156.000,Quimbaya,Excursión a Salento y el Valle de Cocora + Paseo a caballo,390.000 COP,6.079
190,Pereira,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Calarcá,"Excursión a Filandia, Salento y Valle de Cocora",548.000 COP,6.0788
140,Zipaquirá,Entrada Oficial Catedral De Sal de Zipaquirá – Pasaporte Básico,$49.500,Zipaquirá,Entrada a la Catedral de Sal de Zipaquirá,70.000 COP,6.0782
91,Bogotá,Excursión Grupal de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$145.000,Bogotá,Excursión a Villa de Leyva,440.000 COP,6.046
4,Valle de Cocora,"Senderismo en La Carbonera, Quindío desde Salento",$247.000,Salento,Senderismo por el Valle de Cocora,326.000 COP,6.0402
19,Medellín,Excursión de 1 día a Jardín desde Medellín,$152.000,Medellín,Excursión en moto desde Medellín,419.000 COP,5.9991
200,Villa de Leyva,Tour al Parque Gondava y Granja de las Avestruces desde Villa de Leyva,$202.000,Villa de Leyva,Tour de aventura en Villa de Leyva,250.000 COP,5.9877
66,La Tatacoa,Excursión Terrestre al Desierto de la Tatacoa desde Cali,$640.000,Cali,Excursión en moto desde Cali,750.000 COP,5.9542
51,Salento,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Quimbaya,"Excursión a Filandia, Salento y Valle de Cocora",548.000 COP,5.9079
102,Cartagena,Excursión de un día a Isla Múcura desde Cartagena,$498.000,Cartagena de Indias,Excursión a la Isla Múcura,390.000 COP,5.906
159,Bahía Solano,"Tour completo de Avistamiento de Ballenas en Bahía Solano, Colombia",$295.000,Cali,Avistamiento de ballenas en bahía Málaga,624.000 COP,5.8896
7,Valle de Cocora,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,Filandia,"Excursión a Filandia, Salento y Valle de Cocora",548.000 COP,5.8861
24,Medellín,Tour de 1 día al Peñol y Guatapé desde Medellín.,$119.000,Guatapé,Tour de 1 o 2 días por el embalse de Guatapé y sus monolitos,400.000 COP,5.8553
160,Bahía Solano,Tour corto de Avistamiento de Ballenas en Bahía Solano Colombia,$205.000,Playa de Ladrilleros,Avistamiento de ballenas en Bahía Málaga,171.000 COP,5.8241
163,Bahía Solano,Avistamiento de ballenas en Bahía Málaga desde Manizales.,$650.000,Buenaventura,Avistamiento de ballenas en Bahía Málaga,467.000 COP,5.777
108,Cartagena,Excursión de 1 día a San Basilio de Palenque desde Cartagena.,$385.000,Cartagena de Indias,Excursión a San Basilio de Palenque,379.900 COP,5.7738
44,Laguna de Guatavita,Tour de un día a la Laguna de Guatavita y Casa Loca desde Bogotá,$160.000,Bogotá,"Tour de 7, 10, 13 o 15 días por Colombia",5.791.000 COP,5.7377
144,Zipaquirá,Excursión a la Catedral de Sal de Zipaquirá y a Monserrate en la ciudad de Bogotá.,$480.000,Bogotá,Excursión a Zipaquirá en el Tren Turístico de la Sabana,378.000 COP,5.7322
23,Medellín,Tour de un día a Santa Fe de Antioquia desde Medellín,$157.000,Medellín,Excursión a Santa Fe de Antioquia,156.000 COP,5.717
11,Valle de Cocora,Walking Tour Económico por Salento y Valle de Cocora – COMPARTIDO,$283.000,Calarcá,Tour por Salento y Valle de Cocora,283.000 COP,5.7006
25,Medellín,"City Tour por Medellín, ciudad de la Eterna Primavera",$375.000,Medellín,Tour nocturno por Medellín,106.000 COP,5.6883
125,Jardín,"Tour de la Abeja en Jardín, Antioquia",$155.000,Jardín,Tour de la miel por Jardín,180.000 COP,5.6782
113,Nemocón,Excursión de 1 día a la Mina de sal de Nemocón y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Nemocón,Excursión a la Mina de Sal de Nemocón + Senderismo por el desierto de Checua,160.000 COP,5.6654
70,Leticia,Pasadía al Mundo Amazónico con Selva en el Amazonas,$140.000,Leticia,Senderismo por la selva amazónica,469.000 COP,5.6449
103,Cartagena,Tour de un día al Parque Tayrona desde Cartagena,$498.000,Cartagena de Indias,Excursión al Parque Tayrona,512.325 COP,5.6087
196,Villa de Leyva,Excursión Privada de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$340.000,Santa Marta,Excursión privada desde Santa Marta,760.000 COP,5.6002
157,Santa Rosa de Cabal,"Excursión a Termales de Santa Rosa desde Manizales, Villamaría y Chinchiná",$125.000,Santa Rosa de Cabal,Excursión privada a los Termales Santa Rosa de Cabal,647.870 COP,5.5973
100,Cartagena,Tour a las Islas del Rosario y Playa Blanca desde Cartagena,$180.000,Barranquilla,Excursión a Cartagena e Islas del Rosario,669.060 COP,5.5818
5,Valle de Cocora,Senderismo de Un Día en el Valle de Cocora + Tour del Café,$330.000,Calarcá,Excursión al Valle de Cocora + Visita a la finca cafetera Entrebosques,430.000 COP,5.5794
40,Laguna de Guatavita,Excursión Privada de 1 día a la Laguna de Guatavita desde Bogotá.,$132.000,Bogotá,Tour privado de la esmeralda por Bogotá,680.000 COP,5.5701
42,Laguna de Guatavita,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Pitalito,Excursión a la laguna de Guaitipán,235.000 COP,5.5196
116,Jardín,"Tour Urbano en Jardín, Antioquia",$115.000,Jardín,Tour del café por Jardín,160.000 COP,5.4134
68,La Tatacoa,Desierto de la Tatacoa desde Manizales,$400.000,Villavieja,Excursión al desierto de la Tatacoa + Observación de estrellas,195.000 COP,5.4091
41,Laguna de Guatavita,Excursión Grupal de 1 día a la Laguna de Guatavita desde Bogotá.,$93.000,Bogotá,Excursión a la laguna de Tota,300.000 COP,5.3734
115,Jardín,Excursión de 1 día a Jardín desde Medellín,$152.000,Medellín,Excursión a Jardín,174.000 COP,5.3593
141,Zipaquirá,Excursión a la Laguna de Guatavita y Catedral de Sal de Zipaquirá desde Bogotá.,$300.000,Bogotá,Excursión a la laguna El Tabacal + Visita a la finca Gallito Torres,520.000 COP,5.3345
50,Salento,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Santa Rosa de Cabal,Excursión al Parque Panaca,422.085 COP,5.334
67,La Tatacoa,Tour al Desierto de la Tatacoa y Mano del Gigante desde Bogotá,$785.000,Villavieja,Tour de 2 días por el desierto de la Tatacoa,536.250 COP,5.2982
83,Bogotá,Excursión Privada de 1 día a la Laguna de Guatavita desde Bogotá.,$132.000,San José del Guaviare,Excursión privada desde San José del Guaviare,1.217.000 COP,5.2839
161,Bahía Solano,"Safari Marino en Bahía Solano, Pacífico colombiano",$231.000,Bahía Solano,Tarjeta eSIM Civitatis Colombia,"17.469,39 COP",5.2559
3,Valle de Cocora,"Trekking de un día en el Valle de Cocora, Quindío",$156.000,Quimbaya,Excursión privada al Valle de Cocora + Paseo a caballo,809.800 COP,5.2551
195,Pereira,Excursión a Panaca desde Manizales y Pereira,$242.000,Pereira,Excursión al Parque Panaca,422.085 COP,5.2273
21,Medellín,Tour a la Reserva Natural Cañon Del Río Claro desde Medellín,$252.000,Cali,Excursión a la Reserva Natural El Danubio,650.000 COP,5.2248
203,Villa de Leyva,"Lunada, Fogata y Citytour en Villa de Leyva",$60.000,Villa de Leyva,Tour en bicicleta por Villa de Leyva,325.000 COP,5.1877
194,Pereira,Excursión de un día al Nevado Santa Isabel desde Pereira,$400.000,Pereira,Excursión al Parque Nacional Los Nevados,587.000 COP,5.1836
90,Bogotá,Excursión Grupal de 1 día a la Laguna de Guatavita desde Bogotá.,$93.000,Bogotá,Excursión a Guatavita + Casa al Revés,350.000 COP,5.1761
192,Pereira,Excursión al Santuario de Fauna y Flora Otún Quimbaya,$420.000,Pereira,Senderismo por el Santuario Otún Quimbaya,350.000 COP,5.1737
28,Medellín,Tour Privado de 1 día al Peñol y Guatapé desde Medellín.,$590.000,Rionegro,¿Escala en Medellín? Tour privado desde el aeropuerto,837.321 COP,5.1382
48,Salento,Intento de Cima del Nevado del Tolima Saliendo desde Salento,$1.391.000,Salento,Ruta privada de trekking de 4 días por el Nevado del Tolima,2.260.000 COP,5.1366
154,Mesetas,"Rafting por el Cañón del Río Güejar Con Una Noche de Hospedaje en Mesetas, Meta",$330.000,Guaduas,Rafting en el río Negro,81.000 COP,5.1318
88,Bogotá,Tour de Graffiti en la ciudad de Bogotá,$120.000,Bogotá,Tour privado de la arquitectura de Bogotá,600.000 COP,5.1115
143,Zipaquirá,Catedral de Sal de Zipaquirá + City Tour con visita a Monserrate en la ciudad de Bogotá,$480.000,Nemocón,Entrada a la Catedral de Sal de Zipaquirá,70.000 COP,5.0823
93,Norcasia,"Excursión privada a Norcasia, Caldas saliendo desde la ciudad de Manizales.",$911.000,Manizales,Excursión privada a la finca La Mina,1.560.000 COP,4.977
149,Mesetas,"Tubing por Cañón del Río Guape desde Mesetas, Meta",$400.000,Villavicencio,Tubing en el cañón del río Güape,506.100 COP,4.9552
208,Fusagasugá,Tour cafetero en la Hacienda Coloma en Fusagasugá desde Bogotá.,$150.000,Bogotá,Tour del café por Cundinamarca,429.000 COP,4.9234
158,Santa Rosa de Cabal,Pasadía Termales de Santa Rosa desde Manizales,$185.000,Santa Rosa de Cabal,Excursión a los Termales Santa Rosa de Cabal,327.000 COP,4.9211
174,Manizales,"Excursión privada a Norcasia, Caldas saliendo desde la ciudad de Manizales.",$911.000,Manizales,"Excursión privada a Córdoba, Pijao y Buenavista",2.360.000 COP,4.9211
155,Mesetas,Rafting por el Cañón del Río Güejar+Senderismo+Tubing en el Río Cafre. Más hospedaje,$820.000,Ibagué,Senderismo y rafting por el cañón del río Coello,205.000 COP,4.8854
114,Nemocón,Excursión privada de 1 día a la Laguna de Guatavita y Mina de Sal de Nemocón desde Bogotá.,$430.000,Cucunubá,Excursión a la Mina de Sal de Nemocón + Senderismo por el desierto de Checua,160.000 COP,4.825
136,Guatapé,Visita la Peñol y Guatapé desde Manizales,$200.000,Guatapé,Escalada en la Piedra del Peñol,260.000 COP,4.8227
117,Jardín,"Tour Panorámico en Jeep por Jardín, Antioquia",$198.000,Jardín,Tour en 4x4 por Jardín,150.000 COP,4.8009
197,Villa de Leyva,Excursión Grupal de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$145.000,Bogotá,Excursión al salto de Tequendama,368.000 COP,4.7026
127,Calarcá,Ruta Experiencial de Café Hacienda Combia,$207.000,Calarcá,Visita a la Hacienda Combia,205.000 COP,4.7023
173,Manizales,Avistamiento de Ballenas en Juanchaco y Ladrilleros desde Manizales.,$626.000,Manizales,Avistamiento de aves y flores en Manizales,134.000 COP,4.6992
53,Salento,City Tour Privado por Salento con Intérprete Local,$388.000,Salento,Tour privado por Salento,250.000 COP,4.677
201,Villa de Leyva,Recorrido de 1 Hora en Cuatrimoto en Villa de Leyva,$115.000,Villa de Leyva,Tour de aventura en el Hoyo de la Romera,275.000 COP,4.5906
186,Pereira,Excursión privada de un día al Nevado del Ruiz desde Pereira,$850.000,Pereira,Excursión privada al Valle de Cocora + Paseo a caballo,809.800 COP,4.5543
148,Mesetas,"Rafting por el Cañón del Río Güejar, y Circuito de Telares de Cristal. 2 días.",$550.000,Bogotá,Rafting en el cañón del río Güejar,780.000 COP,4.5308
189,Pereira,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Pereira,Excursión a los Termales Santa Rosa de Cabal,327.000 COP,4.4925
156,Mesetas,"Rafting por el Cañón del Río Güejar + Tubbing Rio Cafre + 1 Noche de Hospedaje desde Mesetas, Meta",$520.000,San Gil,Rafting en el río Fonce,60.000 COP,4.4424
128,Guatapé,Tour de 1 día al Peñol y Guatapé desde Medellín.,$119.000,Medellín,Tour gastronómico por Guatapé + Paseo en barco,156.250 COP,4.4381
85,Bogotá,Excursión Privada de 1 día a Villa de Leyva desde la ciudad de Bogotá.,$340.000,Pasto,Excursión privada desde Pasto,1.365.000 COP,4.3745
118,Jardín,Tour de 1 día a la Cueva del Esplendor saliendo desde Medellín,$195.000,Jardín,Tour por la Reserva Natural Cueva del Esplendor,120.000 COP,4.3168
99,Santa Marta,Excursión Oceanario (Centro de Vida Marina) y Playa Blanca Santa Marta – Día Completo con Almuerzo,$144.000,Cartagena de Indias,Excursión al Aviario Nacional de Colombia + Playa Blanca,366.000 COP,4.3144
22,Medellín,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Safari.,$269.000,Guarne,Excursión a la Hacienda Nápoles,289.000 COP,4.2978
30,Medellín,Tour de 2 días a la Hacienda Nápoles + Santorini + Rio Claro,$540.000,Medellín,Tour de 2 días por el ecoparque Los Colores,560.000 COP,4.2143
182,Santander,"Tour de 2 días al Cañón de la Hondura y Cascadas, Santander",$215.000,Santa Marta,Excursión de 2 días al Cabo de la Vela,500.000 COP,4.2123
187,Pereira,Excursión de un día al Nevado Santa Isabel desde Pereira,$400.000,Pereira,Excursión privada a los Termales Santa Rosa de Cabal,647.870 COP,4.2087
131,Guatapé,Tour Privado de 1 día al Peñol y Guatapé desde Medellín.,$590.000,Medellín,Tour privado del tango por Medellín,"562.902,77 COP",4.1805
46,Salento,"Senderismo en La Carbonera, Quindío desde Salento",$247.000,Salento,Senderismo por el Santuario Otún Quimbaya,385.000 COP,4.1604
26,Medellín,Tour de 1 día a la Cueva del Esplendor saliendo desde Medellín,$195.000,Medellín,Excursión privada desde Medellín,1.070.000 COP,4.1419
75,Leticia,Plan Parque Mundo Amazónico: Caminata Nocturna,$90.000,Leticia,Senderismo nocturno por el Amazonas,145.000 COP,4.1154
55,Salento,City Tour Económico por Salento con Intérprete Local,$117.000,Salento,Tour por los miradores de Salento,418.000 COP,4.0523
49,Salento,Trekking de 3 días al Paramillo del Quindío desde Salento,$760.000,Salento,Excursión al Jardín Botánico del Quindío,518.335 COP,4.0379
170,Manizales,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Salento,Excursión privada a las termales de Santa Rosa de Cabal,736.200 COP,4.0309
109,Cartagena,Tour por Getsemaní: Recorrido Guiado de 2 Horas en Cartagena,$130.000,Cartagena de Indias,Free tour por el barrio de Getsemaní,¡Gratis!,3.9935
121,Jardín,"Jardín, Antioquía: Ruta de las 5 Cascadas. Salto del Angel",$135.000,Jardín,Senderismo por las cascadas de Jardín,230.000 COP,3.917
20,Medellín,"Tour de 1 día a Jericó, Antioquia saliendo desde Medellín.",$145.000,Medellín,Excursión en bicicleta desde Medellín,70.000 COP,3.8698
14,Riohacha,"Experiencia “La Guajira Imperdible”. 4 noches, 5 días.",$1.953.900,Riohacha,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,3.8573
162,Bahía Solano,"Tour cascadas cerca de Bahía Solano,Choco",$74.000,Bahía Solano,Paseo en canoa por el río Tundó,95.000 COP,3.8314
167,Manizales,Excursión privada de un día al Nevado del Ruiz desde Manizales,$750.000,Popayán,Excursión privada desde Popayán,500.000 COP,3.8295
177,Manizales,Excursión de un día al Volcán Cerro Bravo + Termales El Otoño,$370.000,Ibagué,Excursión al volcán Cerro Machín + Termales La Florida,324.000 COP,3.8161
169,Manizales,Excursión de 3 días y 2 noches en Manizales,$995.000,Manizales,Excursión a Guática y Quinchía,562.000 COP,3.7612
6,Valle de Cocora,Trekking de 3 días al Paramillo del Quindío desde Salento,$760.000,Salento,Excursión privada al Valle de Cocora + Paseo a caballo,809.800 COP,3.7114
124,Jardín,"Senderismo por la Ruta de Los Tres Altos en Jardín, Antioquia",$210.000,San Agustín,Ruta privada de senderismo al Salto de los Bordones,400.000 COP,3.6936
132,Guatapé,Recorrido Privado de 1 hora en Casa Bote por la represa de Guatapé para grupos entre 5 y 16 personas,$307.000,Guatapé,Paseo en barco privado por el embalse de Guatapé,380.000 COP,3.6524
130,Guatapé,Paseo Privado de 1 hora en Lancha Rápida por Guatapé para grupos de hasta 7 personas,$250.000,Guatapé,Paseo en lancha pontón por el embalse de Guatapé con barbacoa,250.000 COP,3.6261
150,Mesetas,"Rafting en el Cañón del Río Güejar y tubing en el río Cafre, con visita a la cascada La Encantada, sin hospedaje",$460.000,Guaduas,Rafting en el río Negro,60.000 COP,3.5767
105,Cartagena,Tour de un Día a Playa Blanca desde Cartagena con Acceso a Zonas Comunes de un Hostal,$160.000,Turbaco,Excursión a Playa Blanca,291.900 COP,3.555
129,Guatapé,Plan de 1 hora de deportes acuáticos en la represa de Guatapé,$260.000,Guatapé,Actividades acuáticas en el embalse de Guatapé,222.000 COP,3.5472
13,Riohacha,Excursión “Explora La Guajira”. 5 días y 4 noches,$1.661.400,Riohacha,"Tour de 4 días por Manaure, Cabo de la Vela y Punta Gallinas",1.600.000 COP,3.5265
29,Medellín,Tour de 1 día a Gómez Plata y Carolina del Principe desde Medellín,$145.000,Medellín,Excursión privada en helicóptero desde Medellín,1.950.000 COP,3.5089
15,Riohacha,"Excursión “La Guajira, Toda Una Aventura”. 5 noches y 6 días",$2.281.500,Riohacha,Excursión a la playa de Palomino,"821.061,62 COP",3.4801
78,Puerto Triunfo,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Aventura.,$238.000,Medellín,Excursión a la Hacienda Nápoles,289.000 COP,3.4522
184,Pereira,Excursión de un día al Nevado del Ruiz desde Pereira,$390.000,Pereira,Excursión al Jardín Botánico del Quindío,518.335 COP,3.4456
106,Cartagena,"Citytour en Cartagena por la tarde: historia, cultura y lugares icónicos",$199.000,Cartagena de Indias,Tour de la cultura africana por Cartagena,180.000 COP,3.3696
188,Pereira,Excursión de un día a la Laguna del Otún desde Pereira,$310.000,Pereira,Excursión a la Finca Recuca,431.000 COP,3.3586
110,Cartagena,Recorrido en Yate Express de una hora y media por la Bahía de Cartagena,$220.000,Cartagena de Indias,Tour en barco pirata por la bahía de Cartagena,391.000 COP,3.3534
205,Villa de Leyva,Boyacá + Catedral de Sal de Zipaquirá desde Manizales,$760.000,Bogotá,Oferta: Guatavita + Catedral de Sal de Zipaquirá,279.000 COP,3.347
98,Santa Marta,Tour Entrada Centro de Vida Marina (Oceanario) y Transporte a Playa Blanca Santa Marta,$100.000,San Andrés,Entrada al club de playa Booby Rock con transporte,230.000 COP,3.3085
74,Leticia,Pasadía Parque Mundo Amazónico: Avistamiento de Aves,$100.000,Filandia,Avistamiento de aves en el santuario de palmas de cera,300.000 COP,3.1987
145,Mesetas,"Rafting por el Cañón del Río Güejar desde Mesetas, Meta",$250.000,Medellín,Rafting en el río Calderas,627.143 COP,3.1764
207,Jericó,"Tour de 1 día a Jericó, Antioquia saliendo desde Medellín.",$145.000,Jericó,Tour del café por Jericó,235.200 COP,3.1587
123,Jardín,"Senderismo por la Reserva Chorro Blanco en Jardín, Antioquia",$150.000,Bogotá,Senderismo por las cuevas de Tenjo,190.000 COP,3.0746
64,Gambita,"Tour de 2 días al Cañón de la Hondura y Cascadas, Santander",$215.000,Ibagué,Ruta privada de trekking de 2 días hasta la cascada El Salto,1.074.000 COP,3.0136
178,Santander,"Pasadía a la Cascada Los Aviones en Gámbita, Santander",$90.000,San Agustín,Excursión privada a la cascada Tres Chorros,334.000 COP,2.9725
134,Guatapé,Recorrido Privado de 4 horas en Casa Bote por la represa de Guatapé para grupos entre 5 y 20 personas,$5.000.000,Guatapé,Paseo privado en helicóptero por Guatapé,1.850.000 COP,2.9342
168,Manizales,Excursión Natural de 4 días y 3 noches en el Departamento de Caldas,$1.634.000,Leticia,Excursión de 2 días a la Reserva Natural Marasha,570.000 COP,2.8612
38,Amazonas,Pasadía Parque Mundo Amazónico: Avistamiento de Aves,$100.000,Salento,Avistamiento de aves en el santuario de palmas de cera,300.000 COP,2.8452
59,Alcalá,Caminata a lo largo del sendero de la cascada en Alcalá,$60.000,Pereira,Excursión a la cascada Don Lolo,380.000 COP,2.7965
34,Amazonas,Pasadía al Mundo Amazónico con Selva en el Amazonas,$140.000,Puerto Nariño,Noche en la selva amazónica,150.000 COP,2.7282
